Keyword,Date,Value,Date Delisted
AimX,26-11-2023,100,01-10-2023
And So It Was,03-01-2019,100,01-01-2019
Aruna,12-04-2023,100,01-02-2023
Babel Rising,29-01-2017,100,01-12-2016
Balanced Politics Simulator,13-09-2021,100,01-10-2021
BASMENT DWELLERS,23-02-2024,100,01-11-2023
Boss Hunter,16-03-2024,100,01-06-2024
Boss Monster,13-05-2019,100,01-05-2019
Citizens of Earth,22-07-2023,100,01-07-2023
Crimson Memories,04-03-2021,78,01-03-2021
Crystal Spires,20-04-2021,100,01-02-2021
Deathgarden: BLOODHARVEST,31-05-2020,100,01-07-2020
DEEP SPACE WAIFU: NEKOMIMI,09-10-2024,92,01-11-2024
Devil's Dungeon,29-10-2025,100,01-10-2025
Dino Dini's Kick Off Revival,15-05-2023,100,01-09-2023
DinoBlits,21-02-2024,100,01-06-2024
Disney's The Jungle Book,08-05-2019,100,01-07-2019
Domina,09-05-2022,100,01-09-2022
Entropy,28-08-2017,79,01-11-2017
Erebe,31-03-2023,100,01-06-2023
Evolution RTS,21-09-2020,100,01-06-2020
Falling Slime,23-07-2023,100,01-08-2023
Fashion Show Makeover Mega Pack,15-01-2021,64,01-12-2020
Fight the Landlord,17-02-2023,100,01-04-2023
Ford Street Racing,05-03-2018,100,01-01-2018
Forge and Fight,25-08-2024,100,01-09-2024
Goth Dating Sim 2022,28-04-2022,100,01-03-2022
HITMAN™ 2,01-03-2023,100,01-01-2023
Hyper Train Corporation,10-12-2021,100,01-01-2022
Indie Game Battle,31-01-2019,76,01-05-2019
Joe Jump,28-12-2024,100,01-01-2025
Kendo,21-09-2020,100,01-11-2020
Keyhole Spy: Naughty Witches,15-07-2019,100,01-10-2019
Kula,14-02-2024,100,01-06-2024
Legion Defense,01-07-2025,100,01-10-2025
Levis Umbra,26-05-2023,100,01-03-2023
LiveTale,01-10-2025,100,01-11-2025
Lost In Sweets,09-09-2024,100,01-08-2024
Magic Tower & Maidens,27-04-2023,100,01-03-2023
Mega City Police: Prelude,19-07-2023,100,01-07-2023
Megaloot: Prelude,26-06-2024,100,01-08-2024
Meta-Ghost: Prologue,14-04-2024,100,01-04-2024
Motocross: Chasing the Dream,19-01-2024,100,01-02-2024
NOMU,04-07-2025,100,01-08-2025
North Of Iraq Part 1,26-10-2021,100,01-12-2021
PLANNES,06-07-2023,90,01-10-2023
Protein for Muscle,14-02-2022,100,01-01-2022
Rats - Time is running out!,16-02-2021,100,01-05-2021
RealFlight 9.5S,12-09-2022,100,01-10-2022
"Resident Evil 2 ""1-Shot Demo""",28-05-2019,100,01-02-2019
Reverse Me! Rez/Ru,07-09-2020,100,01-07-2020
Ricochet: Lost Worlds,07-07-2010,100,01-08-2010
Rocket League,03-10-2020,100,01-09-2020
S.O.T.A 2,30-04-2025,100,01-06-2025
Samurai Aces,17-10-2025,100,01-10-2025
Ski Jumping PVP,20-07-2024,100,01-09-2024
Smashing Toys,02-12-2009,100,01-12-2009
Sophont,17-05-2022,100,01-07-2022
SPALG,11-11-2025,100,01-11-2025
Survival Frenzy,10-05-2020,100,01-07-2020
Sycamore Free,01-06-2024,100,01-04-2024
T.E.C. 3001,24-03-2019,100,01-01-2019
The Adventures of Golly,20-11-2019,70,01-10-2019
The Forgotten Tapes: Analog Nightmares,29-07-2024,100,01-11-2024
The Molfar: Call of Heart,11-01-2025,93,01-02-2025
Tower of Arcana,20-11-2020,100,01-11-2020
Trickshot,23-04-2023,100,01-05-2023
UNCONSCIOUS,06-06-2016,100,01-06-2016
Unfazed,13-07-2020,100,01-08-2020
Unreal Estate,11-10-2019,79,01-11-2019
Wacky Wheels HD,23-03-2020,84,01-05-2020
Wage Slave TD: Prologue,17-01-2024,100,01-04-2024
Wolfenstein 3D: Spear of Destiny,03-09-2022,87,01-09-2022
WRC Powerslide,03-01-2015,100,01-01-2015
Written in the Sky,03-05-2019,100,01-09-2019
Zula Europe,21-02-2021,100,01-02-2021
