date,AL,DZ,AO,AR,AU,AT,AZ,BS,BH,BD,BY,BE,BJ,BT,BO,BA,BR,BG,CA,CL,CO,CR,CI,HR,CY,CZ,DK,EC,EG,EE,FI,FR,GA,GE,DE,GR,GD,HN,HK,HU,IN,ID,IR,IQ,IE,IM,IL,IT,JP,JE,JO,KE,KW,LA,LV,LB,LT,LU,MW,MY,MV,MX,MD,MN,ME,MA,MM,NA,NP,NL,NZ,NI,NG,MK,NO,OM,PK,PS,PA,PG,PY,PE,PH,PL,PT,QA,RO,RU,WS,SA,SN,RS,SG,SK,SI,ZA,KR,ES,LK,SE,CH,TW,TZ,TH,TN,TR,UG,UA,AE,GB,US,UY,VE,VN,YE
2018-04-01,0,0,0,15,5,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,19,18,0,0,28,0,0,0,0,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0
2018-05-01,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,62,16,20,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,100,0,0,0,0,0,0,9,13,0,0,0,0
2018-06-01,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0,0
2018-07-01,0,71,0,18,7,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,21,0,0,0,0,0,0,0,12,0,0,0,0,0,0,22,0,0,0,0,0,16,19,0,0,0,0,100,51,0,0,0,0,0,15,0,0,0,26,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0
2018-08-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,15,19,0,0,0,0,0,0,40,0,0,0,9,12,0,0,0,0
2018-09-01,0,62,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,13,0,0,0,57,0,0,0,0,0,0,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0
2018-10-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,11,0,0,0,0,0,0,26,0,0,0,0,0,15,19,18,0,0,0,0,0,0,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0
2018-11-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,8,38,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,12,22,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0
2018-12-01,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,14,0,0,0,0,0,0,16,0,0,0,0,0,21,26,0,0,31,0,0,0,0,0,0,100,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,0,0,0,0
2019-01-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,27,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0
2019-02-01,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,14,0,0,0,100,0,0,12,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0
2019-03-01,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,12,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,17,0,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0
2019-04-01,0,0,0,35,21,0,0,0,0,48,0,37,0,0,0,0,59,0,16,0,0,0,0,0,0,0,0,0,47,0,0,36,0,0,0,46,0,0,0,0,13,0,0,100,46,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,44,23,0,0,0,0,0,47,0,0,0,0,0,33,0,21,0,31,0,0,0,0,0,0,0,0,24,0,24,33,0,0,0,0,0,0,65,0,0,0,16,19,0,0,0,0
2019-05-01,0,0,0,23,12,0,0,0,0,44,0,27,0,0,0,0,55,0,17,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,18,0,0,0,0,9,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,67,29,13,0,0,0,0,0,48,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,34,0,0,22,0,18,35,22,0,0,0,0,0,63,0,0,24,13,18,0,0,0,0
2019-06-01,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,100,0,0,0,0,16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,0,14,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0
