Country,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Average Income (2015-2024),Avg hours per year,Hourly Wages (estimated)
Sweden,SWE,GDP per capita (current US$),51188.16521,51703.50883,53210.22333,54018.45544,51648.98928,52568.5727,60647.54164,54836.89072,54950.28347,57117.48774,54189.01184,1836,29.51471233
Netherlands,NLD,GDP per capita (current US$),45793.81354,46808.52915,49513.68173,53955.077,53554.90075,53467.92774,60141.98809,59123.31856,63515.60308,67520.4219,55339.52615,1643,33.68200009
Australia,AUS,GDP per capita (current US$),56970.3613,50084.44406,54117.54772,57410.17373,55194.75851,51983.45237,60758.90444,65169.51911,65058.37731,64603.98563,58135.15242,1680,34.60425739
Denmark,DNK,GDP per capita (current US$),53094.01336,54500.92604,57521.5515,61324.7665,59404.26632,60985.48856,69340.73349,67781.09409,68043.5467,71026.48323,62302.28698,1763,35.33879012
United States,USA,GDP per capita (current US$),56572.9189,57638.10184,59635.09844,62499.87444,64746.45068,63515.94918,70205.05092,76657.24888,81032.26212,84534.04078,67703.69962,,
Qatar,QAT,GDP per capita (current US$),68985.24334,61253.6218,63279.87675,71039.93082,66841.36232,51683.56811,71751.93634,88701.46898,81816.9798,76688.69417,70204.26824,2496,28.12671003
Iceland,ISL,GDP per capita (current US$),53505.69641,62854.09064,72976.373,75633.86514,69296.31444,60127.93936,70425.40643,76350.45504,82138.7893,86040.53099,70934.94608,1888,37.57147568
Singapore,SGP,GDP per capita (current US$),55645.60686,57005.58872,61236.25127,66881.6067,65952.0379,61410.07926,80056.12882,90299.06946,85412.23035,90674.06663,71457.2666,2215,32.26061697
Norway,NOR,GDP per capita (current US$),74809.9658,70867.361,76131.8384,82792.84271,76430.58895,68340.0181,93072.89251,109269.5206,87497.21796,86785.43345,82599.76795,1752,47.14598627
Ireland,IRL,GDP per capita (current US$),64250.13852,64129.55715,72161.40475,80804.11232,81827.66889,86514.07061,103783.4463,105190.686,106818.9171,112894.9532,87837.49548,1851,47.45407644
Switzerland,CHE,GDP per capita (current US$),83806.4476,82153.07454,82254.37693,85217.36915,84121.93103,85897.78433,93664.77367,94394.51068,100623.5496,103998.1867,89613.20042,1856,48.28297437
Luxembourg,LUX,GDP per capita (current US$),105462.0126,106899.2935,110193.2138,116926.7596,112696.6491,116860.0282,134965.8154,123719.6589,133230.6192,137781.6817,119873.5732,1851,64.76151983
Liechtenstein,LIE,GDP per capita (current US$),167187.1573,165375.4914,170547.0923,174988.7751,166907.8393,164671.0936,201944.8303,188055.0032,206780.5904,,178495.3192,,
Monaco,MCO,GDP per capita (current US$),170437.1012,173604.7536,170663.3752,188298.3157,193746.7856,176891.8865,223823.364,226052.0019,256799.7886,288001.4334,206831.8806,,
Eritrea,ERI,GDP per capita (current US$),,,,,,,,,,,,,
